sp|Q74EE6|Y1016_GEOSL	K07085
tr|Q74C49|Q74C49_GEOSL
tr|I7F9H4|I7F9H4_GEOSL
tr|Q74GX0|Q74GX0_GEOSL
tr|Q74GZ5|Q74GZ5_GEOSL
tr|Q74GC1|Q74GC1_GEOSL
tr|Q74DR6|Q74DR6_GEOSL
tr|Q74G45|Q74G45_GEOSL	K03409
tr|Q74E51|Q74E51_GEOSL
tr|Q74FZ7|Q74FZ7_GEOSL	K03642
tr|Q74DY0|Q74DY0_GEOSL	K09129
tr|Q747D8|Q747D8_GEOSL
tr|Q74CF6|Q74CF6_GEOSL	K00955
tr|Q747U4|Q747U4_GEOSL
tr|Q74A62|Q74A62_GEOSL
tr|Q74F76|Q74F76_GEOSL	K03569
tr|Q747A1|Q747A1_GEOSL	K01886
tr|Q747P6|Q747P6_GEOSL
tr|Q74BU6|Q74BU6_GEOSL
tr|I7EP50|I7EP50_GEOSL
tr|Q74AI0|Q74AI0_GEOSL
tr|Q74AV3|Q74AV3_GEOSL	K00067
tr|Q74EF1|Q74EF1_GEOSL
tr|Q74F15|Q74F15_GEOSL
tr|Q74FK0|Q74FK0_GEOSL
tr|Q749I2|Q749I2_GEOSL	K00111
tr|Q747V5|Q747V5_GEOSL	K06175
tr|Q74CS5|Q74CS5_GEOSL
tr|Q74B76|Q74B76_GEOSL
tr|Q74FU8|Q74FU8_GEOSL
tr|Q74FM5|Q74FM5_GEOSL	K03704
tr|Q74CK0|Q74CK0_GEOSL
tr|Q74F78|Q74F78_GEOSL	K02535
tr|Q74E92|Q74E92_GEOSL
tr|Q74GY7|Q74GY7_GEOSL	K03496
tr|Q74AH6|Q74AH6_GEOSL	K06001
tr|Q74GQ9|Q74GQ9_GEOSL	K07743
tr|Q747U8|Q747U8_GEOSL	K11910
tr|Q747G4|Q747G4_GEOSL	K01848
tr|Q74D20|Q74D20_GEOSL
tr|Q74DF2|Q74DF2_GEOSL	K07454
tr|Q74ET9|Q74ET9_GEOSL	K03574
tr|Q74H42|Q74H42_GEOSL	K07012
tr|Q74EU8|Q74EU8_GEOSL
tr|Q74DX3|Q74DX3_GEOSL
tr|Q74D97|Q74D97_GEOSL	K06442
tr|Q74FQ7|Q74FQ7_GEOSL
tr|Q74G76|Q74G76_GEOSL	K00688
tr|Q749M7|Q749M7_GEOSL
tr|Q74BF3|Q74BF3_GEOSL
tr|Q74AN2|Q74AN2_GEOSL
tr|Q74CV5|Q74CV5_GEOSL
tr|I7F9I2|I7F9I2_GEOSL
tr|Q74G96|Q74G96_GEOSL	K00342
tr|Q74A64|Q74A64_GEOSL
tr|Q74F92|Q74F92_GEOSL
tr|Q74FR6|Q74FR6_GEOSL
tr|Q749W6|Q749W6_GEOSL	K06969
tr|Q74BG9|Q74BG9_GEOSL	K00655
tr|Q747I6|Q747I6_GEOSL
tr|Q74FL0|Q74FL0_GEOSL
tr|Q749D6|Q749D6_GEOSL
tr|Q74GU7|Q74GU7_GEOSL	K03565
tr|Q74FD6|Q74FD6_GEOSL
tr|I7EEY6|I7EEY6_GEOSL
tr|Q74CG2|Q74CG2_GEOSL
tr|Q749G0|Q749G0_GEOSL
tr|Q74EB0|Q74EB0_GEOSL
tr|Q74B68|Q74B68_GEOSL
tr|Q74AZ5|Q74AZ5_GEOSL
tr|Q74DR4|Q74DR4_GEOSL
tr|Q74AJ2|Q74AJ2_GEOSL
tr|Q74EM4|Q74EM4_GEOSL
tr|Q74BM7|Q74BM7_GEOSL
tr|Q74FN8|Q74FN8_GEOSL
tr|Q74AW3|Q74AW3_GEOSL	K01139
tr|I7EP93|I7EP93_GEOSL
tr|Q74B00|Q74B00_GEOSL	K07491
tr|Q748W4|Q748W4_GEOSL
tr|Q747G5|Q747G5_GEOSL	K00943
tr|Q74FI9|Q74FI9_GEOSL
tr|Q74DA6|Q74DA6_GEOSL	K03325
tr|Q74DH2|Q74DH2_GEOSL
tr|Q749J2|Q749J2_GEOSL
tr|Q74AF7|Q74AF7_GEOSL
tr|Q748P2|Q748P2_GEOSL
tr|Q74C04|Q74C04_GEOSL
tr|Q74BD4|Q74BD4_GEOSL
tr|Q74D34|Q74D34_GEOSL	K12573
tr|Q74CZ8|Q74CZ8_GEOSL	K04764
tr|Q74BS6|Q74BS6_GEOSL	K01912
tr|Q74C08|Q74C08_GEOSL
tr|Q749G8|Q749G8_GEOSL
tr|Q74F70|Q74F70_GEOSL	K12137
tr|Q74B19|Q74B19_GEOSL	K07154
tr|Q74F21|Q74F21_GEOSL
tr|I7FI92|I7FI92_GEOSL
tr|Q747D6|Q747D6_GEOSL	K00873
tr|Q74EM5|Q74EM5_GEOSL	K02594
tr|Q74A42|Q74A42_GEOSL	K03168
tr|Q74DG7|Q74DG7_GEOSL	K02045
tr|Q74AI2|Q74AI2_GEOSL
tr|Q748W7|Q748W7_GEOSL
tr|Q74CG9|Q74CG9_GEOSL
tr|Q74D32|Q74D32_GEOSL	K11753
tr|Q74B50|Q74B50_GEOSL	K03738
tr|Q746V9|Q746V9_GEOSL
tr|Q74GY6|Q74GY6_GEOSL	K03497
tr|Q749H3|Q749H3_GEOSL
tr|Q746S7|Q746S7_GEOSL	K00335
tr|Q749C6|Q749C6_GEOSL
tr|Q74FH0|Q74FH0_GEOSL
tr|Q74AK9|Q74AK9_GEOSL	K07315
tr|Q74CW8|Q74CW8_GEOSL
tr|Q74EA9|Q74EA9_GEOSL
tr|Q74E83|Q74E83_GEOSL	K09765
tr|Q74F04|Q74F04_GEOSL	K07113
tr|Q748I7|Q748I7_GEOSL	K06603
tr|I7FKD4|I7FKD4_GEOSL
tr|Q748B5|Q748B5_GEOSL	K09117
tr|Q749Q0|Q749Q0_GEOSL	K07080
tr|Q747G8|Q747G8_GEOSL
tr|Q74GI6|Q74GI6_GEOSL
tr|Q74C43|Q74C43_GEOSL	K05896
tr|Q74G70|Q74G70_GEOSL	K00282
tr|Q74CH2|Q74CH2_GEOSL	K19710
tr|Q748F8|Q748F8_GEOSL
tr|Q74EB2|Q74EB2_GEOSL
tr|Q74DG4|Q74DG4_GEOSL
tr|Q74F80|Q74F80_GEOSL	K02574
tr|Q747K7|Q747K7_GEOSL
tr|Q748R2|Q748R2_GEOSL
tr|Q74A89|Q74A89_GEOSL
tr|Q74DH1|Q74DH1_GEOSL
tr|Q74F27|Q74F27_GEOSL	K06282
tr|Q74EK6|Q74EK6_GEOSL
tr|Q749S2|Q749S2_GEOSL
tr|Q747W3|Q747W3_GEOSL
tr|Q74A58|Q74A58_GEOSL
tr|I7EPE5|I7EPE5_GEOSL
tr|Q74DY7|Q74DY7_GEOSL	K00240
tr|Q74CK2|Q74CK2_GEOSL	K02488
tr|Q74GS0|Q74GS0_GEOSL
tr|Q747W7|Q747W7_GEOSL
tr|Q747V2|Q747V2_GEOSL
tr|Q746S1|Q746S1_GEOSL	K03564
tr|Q74EC7|Q74EC7_GEOSL
tr|Q747K4|Q747K4_GEOSL
tr|Q74B21|Q74B21_GEOSL
tr|Q74FS8|Q74FS8_GEOSL
tr|Q74FQ5|Q74FQ5_GEOSL
tr|Q74EM1|Q74EM1_GEOSL	K02482
tr|I7FK88|I7FK88_GEOSL
tr|Q748X1|Q748X1_GEOSL
tr|Q747K0|Q747K0_GEOSL
tr|Q74A27|Q74A27_GEOSL
tr|Q74CF8|Q74CF8_GEOSL	K00390
tr|Q74FZ6|Q74FZ6_GEOSL	K07003
tr|I7FKH5|I7FKH5_GEOSL	K04758
tr|Q74E93|Q74E93_GEOSL	K14393
tr|Q74B79|Q74B79_GEOSL
tr|Q749C9|Q749C9_GEOSL
tr|Q747A8|Q747A8_GEOSL
tr|Q74DH7|Q74DH7_GEOSL
tr|Q746T8|Q746T8_GEOSL	K00342
tr|Q749H4|Q749H4_GEOSL
tr|Q747U1|Q747U1_GEOSL	K11903
tr|Q74FN6|Q74FN6_GEOSL
tr|Q74H68|Q74H68_GEOSL	K03640
tr|Q74G93|Q74G93_GEOSL
tr|Q74F38|Q74F38_GEOSL	K19745
tr|Q74DV2|Q74DV2_GEOSL
tr|Q74FL8|Q74FL8_GEOSL	K03154
tr|Q74BK9|Q74BK9_GEOSL	K02662
tr|Q74AQ3|Q74AQ3_GEOSL
tr|Q74EN0|Q74EN0_GEOSL	K02824
tr|Q74A70|Q74A70_GEOSL	K23876
tr|Q74CM3|Q74CM3_GEOSL	K02636
tr|Q74GT8|Q74GT8_GEOSL
tr|Q74EQ0|Q74EQ0_GEOSL
tr|Q74E90|Q74E90_GEOSL
tr|Q74A72|Q74A72_GEOSL
tr|Q74AP5|Q74AP5_GEOSL	K01673
tr|Q74B85|Q74B85_GEOSL
tr|Q74EF8|Q74EF8_GEOSL	K07708
tr|Q74DJ3|Q74DJ3_GEOSL
tr|Q74FA1|Q74FA1_GEOSL	K03297
tr|Q74BS4|Q74BS4_GEOSL
tr|Q74GA4|Q74GA4_GEOSL	K00334
tr|Q74D92|Q74D92_GEOSL	K04757
tr|Q74ES9|Q74ES9_GEOSL
tr|Q74GC9|Q74GC9_GEOSL
tr|Q74GK2|Q74GK2_GEOSL
tr|Q746R4|Q746R4_GEOSL	K22227
tr|Q74FV6|Q74FV6_GEOSL	K02005
tr|Q74EB6|Q74EB6_GEOSL
tr|Q74CK6|Q74CK6_GEOSL
tr|Q74E94|Q74E94_GEOSL
tr|Q74CF5|Q74CF5_GEOSL
tr|Q74FF2|Q74FF2_GEOSL
tr|Q74DB8|Q74DB8_GEOSL	K07152
tr|Q74F94|Q74F94_GEOSL
tr|Q74CN2|Q74CN2_GEOSL	K00426
tr|Q74DZ2|Q74DZ2_GEOSL	K00567
tr|Q74ES4|Q74ES4_GEOSL	K13788
tr|Q749X6|Q749X6_GEOSL	K03074
tr|Q748C8|Q748C8_GEOSL
tr|Q74CL0|Q74CL0_GEOSL	K00757
tr|Q74C47|Q74C47_GEOSL	K04093
tr|Q74DD4|Q74DD4_GEOSL	K03709
tr|Q749D2|Q749D2_GEOSL
tr|Q74B34|Q74B34_GEOSL
tr|Q74C88|Q74C88_GEOSL
tr|Q74DT1|Q74DT1_GEOSL	K04773
tr|Q74C39|Q74C39_GEOSL	K04751
tr|Q74A43|Q74A43_GEOSL
tr|Q74BU1|Q74BU1_GEOSL	K03524
tr|Q747F3|Q747F3_GEOSL
tr|Q74FF8|Q74FF8_GEOSL
tr|Q74G81|Q74G81_GEOSL
tr|Q74AV9|Q74AV9_GEOSL	K08679
tr|Q747P7|Q747P7_GEOSL
tr|Q746V5|Q746V5_GEOSL
tr|Q74AD6|Q74AD6_GEOSL
tr|Q74CV2|Q74CV2_GEOSL
tr|Q74G27|Q74G27_GEOSL	K02417
tr|Q746V3|Q746V3_GEOSL	K04034
tr|Q74DI5|Q74DI5_GEOSL	K07798
tr|I7FK63|I7FK63_GEOSL
tr|Q74BF5|Q74BF5_GEOSL
tr|Q749Q5|Q749Q5_GEOSL	K01993
tr|Q74E61|Q74E61_GEOSL	K00666
tr|Q74C16|Q74C16_GEOSL	K00175
tr|Q74DW4|Q74DW4_GEOSL	K04760
tr|Q749M5|Q749M5_GEOSL
tr|I7F9K1|I7F9K1_GEOSL
tr|Q747X1|Q747X1_GEOSL	K06969
tr|Q74C37|Q74C37_GEOSL	K03579
tr|Q74GB0|Q74GB0_GEOSL	K02116
tr|Q74GC2|Q74GC2_GEOSL	K02458
tr|Q749E0|Q749E0_GEOSL
tr|I7EF34|I7EF34_GEOSL
tr|Q74GF4|Q74GF4_GEOSL
tr|Q74FN5|Q74FN5_GEOSL	K00287
tr|Q749Y0|Q749Y0_GEOSL
tr|I7FK67|I7FK67_GEOSL
tr|Q74GP8|Q74GP8_GEOSL
tr|Q74CW1|Q74CW1_GEOSL
tr|Q748N6|Q748N6_GEOSL
tr|Q747Z4|Q747Z4_GEOSL
tr|Q74C06|Q74C06_GEOSL
tr|Q74AH2|Q74AH2_GEOSL	K01657
tr|Q74AY8|Q74AY8_GEOSL
tr|I7F9M9|I7F9M9_GEOSL
tr|Q74DF8|Q74DF8_GEOSL	K09384
tr|Q74E17|Q74E17_GEOSL
tr|Q747D5|Q747D5_GEOSL
tr|Q749Q3|Q749Q3_GEOSL
tr|Q74EM8|Q74EM8_GEOSL
tr|Q74D89|Q74D89_GEOSL
tr|Q74F50|Q74F50_GEOSL
tr|Q74BX4|Q74BX4_GEOSL
tr|Q749S1|Q749S1_GEOSL
tr|Q748B0|Q748B0_GEOSL
tr|Q74BR4|Q74BR4_GEOSL
tr|I7EPC0|I7EPC0_GEOSL
tr|Q74G50|Q74G50_GEOSL
tr|Q74BC4|Q74BC4_GEOSL
tr|Q74BY8|Q74BY8_GEOSL
tr|I7EF07|I7EF07_GEOSL
tr|Q74AG9|Q74AG9_GEOSL	K01599
tr|Q74EQ1|Q74EQ1_GEOSL
tr|Q74CX1|Q74CX1_GEOSL	K01821
tr|Q74CN3|Q74CN3_GEOSL	K00425
tr|I7FK55|I7FK55_GEOSL
tr|Q74EH7|Q74EH7_GEOSL
tr|Q74FU3|Q74FU3_GEOSL	K09749
tr|Q749Q6|Q749Q6_GEOSL	K13926
tr|Q74DQ0|Q74DQ0_GEOSL
tr|Q74FC8|Q74FC8_GEOSL
tr|Q74EA0|Q74EA0_GEOSL
tr|Q74A18|Q74A18_GEOSL
tr|Q74CH9|Q74CH9_GEOSL	K20881
tr|Q74CP9|Q74CP9_GEOSL	K11473
tr|Q746X5|Q746X5_GEOSL	K01998
tr|Q74FY4|Q74FY4_GEOSL
tr|Q748F1|Q748F1_GEOSL	K02392
tr|Q749R1|Q749R1_GEOSL
tr|Q746Y9|Q746Y9_GEOSL	K00982
tr|Q74G99|Q74G99_GEOSL	K00339
tr|Q749V0|Q749V0_GEOSL
tr|Q74CY4|Q74CY4_GEOSL	K02450
tr|Q749L4|Q749L4_GEOSL
tr|Q749M9|Q749M9_GEOSL
tr|Q74BQ3|Q74BQ3_GEOSL
tr|Q74G23|Q74G23_GEOSL	K11893
tr|Q74A45|Q74A45_GEOSL
tr|Q748N1|Q748N1_GEOSL
tr|Q74CJ0|Q74CJ0_GEOSL	K09770
tr|Q74E09|Q74E09_GEOSL
tr|Q749E6|Q749E6_GEOSL	K03521
tr|Q74DK3|Q74DK3_GEOSL
tr|Q74CU2|Q74CU2_GEOSL	K07588
tr|Q74H30|Q74H30_GEOSL	K07733
tr|Q74BD3|Q74BD3_GEOSL
tr|Q74H23|Q74H23_GEOSL
tr|Q74A14|Q74A14_GEOSL
tr|Q74G66|Q74G66_GEOSL	K07397
tr|Q747G3|Q747G3_GEOSL	K05606
tr|Q74E03|Q74E03_GEOSL
tr|Q74BE0|Q74BE0_GEOSL	K23121
tr|Q74BN1|Q74BN1_GEOSL	K04767
tr|Q749K7|Q749K7_GEOSL
tr|Q74B04|Q74B04_GEOSL
tr|I7EEV5|I7EEV5_GEOSL
tr|Q74DW9|Q74DW9_GEOSL
tr|Q74AY9|Q74AY9_GEOSL
tr|Q747A3|Q747A3_GEOSL
tr|Q74D96|Q74D96_GEOSL	K03547
tr|Q74EW3|Q74EW3_GEOSL	K01681
tr|Q74AR9|Q74AR9_GEOSL	K00901
tr|Q74B74|Q74B74_GEOSL
tr|Q74GU8|Q74GU8_GEOSL	K02669
tr|Q74A51|Q74A51_GEOSL
tr|Q74AU8|Q74AU8_GEOSL	K02849
tr|Q747G7|Q747G7_GEOSL
tr|Q74DU8|Q74DU8_GEOSL
tr|Q74AE1|Q74AE1_GEOSL	K00627
tr|Q74B82|Q74B82_GEOSL
tr|I7FIC9|I7FIC9_GEOSL
tr|Q74BK2|Q74BK2_GEOSL
tr|Q74FQ4|Q74FQ4_GEOSL
tr|Q74GN8|Q74GN8_GEOSL
tr|Q74DU4|Q74DU4_GEOSL	K03320
tr|Q749Q9|Q749Q9_GEOSL	K00077
tr|Q74CQ0|Q74CQ0_GEOSL	K00104
tr|Q74BP2|Q74BP2_GEOSL	K03666
tr|Q74H22|Q74H22_GEOSL
tr|Q749R3|Q749R3_GEOSL	K09936
tr|Q74H40|Q74H40_GEOSL	K19131
tr|Q748V5|Q748V5_GEOSL
tr|Q74DD8|Q74DD8_GEOSL	K01286
tr|Q747D0|Q747D0_GEOSL
tr|Q747K9|Q747K9_GEOSL	K00965
tr|I7EP97|I7EP97_GEOSL
tr|Q74AI7|Q74AI7_GEOSL	K04744
tr|Q74E42|Q74E42_GEOSL	K03698
tr|Q74BS2|Q74BS2_GEOSL
tr|Q74AI9|Q74AI9_GEOSL	K00067
tr|Q747F7|Q747F7_GEOSL
tr|Q74FB2|Q74FB2_GEOSL	K00720
tr|I7EP12|I7EP12_GEOSL
tr|I7F9N4|I7F9N4_GEOSL
tr|Q747N7|Q747N7_GEOSL
tr|Q74FA8|Q74FA8_GEOSL
tr|Q749V9|Q749V9_GEOSL
tr|Q74H79|Q74H79_GEOSL
tr|Q74BF7|Q74BF7_GEOSL	K03273
tr|Q74BT4|Q74BT4_GEOSL	K02474
tr|Q74GX1|Q74GX1_GEOSL	K06282
tr|Q74F84|Q74F84_GEOSL
tr|Q74E15|Q74E15_GEOSL
tr|Q74CI5|Q74CI5_GEOSL	K11752
tr|Q748R7|Q748R7_GEOSL
tr|Q74EV3|Q74EV3_GEOSL	K03799
tr|Q746R2|Q746R2_GEOSL	K01462
tr|Q74B86|Q74B86_GEOSL
tr|Q748A5|Q748A5_GEOSL
tr|Q74A00|Q74A00_GEOSL	K07486
tr|Q74EV9|Q74EV9_GEOSL	K03981
tr|I7EF28|I7EF28_GEOSL
tr|Q74BD1|Q74BD1_GEOSL
tr|Q747E6|Q747E6_GEOSL
tr|Q74BU8|Q74BU8_GEOSL
tr|Q74DY4|Q74DY4_GEOSL
tr|Q74GH4|Q74GH4_GEOSL
tr|Q74DU1|Q74DU1_GEOSL
tr|Q74C78|Q74C78_GEOSL
tr|Q74E26|Q74E26_GEOSL	K09769
tr|Q746Y2|Q746Y2_GEOSL
tr|Q74B75|Q74B75_GEOSL
tr|Q74H10|Q74H10_GEOSL	K05810
tr|Q74C73|Q74C73_GEOSL
tr|Q74AG0|Q74AG0_GEOSL	K03408
tr|Q74BX1|Q74BX1_GEOSL	K17103
tr|Q74FW5|Q74FW5_GEOSL	K16264
tr|Q74DS0|Q74DS0_GEOSL	K01624
tr|Q746R6|Q746R6_GEOSL	K03745
tr|Q74C68|Q74C68_GEOSL	K18672
tr|Q748E9|Q748E9_GEOSL	K02405
tr|Q748E4|Q748E4_GEOSL
tr|Q74GC3|Q74GC3_GEOSL	K02459
tr|Q74FI2|Q74FI2_GEOSL	K01711
tr|Q74G42|Q74G42_GEOSL	K02387
tr|Q74B01|Q74B01_GEOSL	K07126
tr|Q74BZ2|Q74BZ2_GEOSL	K05808
tr|Q74GR9|Q74GR9_GEOSL
tr|Q74CI4|Q74CI4_GEOSL	K00793
tr|Q747P1|Q747P1_GEOSL
tr|Q74FB8|Q74FB8_GEOSL	K03113
tr|Q74F01|Q74F01_GEOSL
tr|Q748P0|Q748P0_GEOSL	K02018
tr|Q74CI8|Q74CI8_GEOSL	K06950
tr|Q74GG2|Q74GG2_GEOSL	K06204
tr|Q74A73|Q74A73_GEOSL
tr|Q74C93|Q74C93_GEOSL	K02663
tr|Q74B42|Q74B42_GEOSL
tr|I7EPF1|I7EPF1_GEOSL
tr|Q747U9|Q747U9_GEOSL	K11891
tr|Q74DV4|Q74DV4_GEOSL
tr|Q74E41|Q74E41_GEOSL	K01069
tr|Q74DK8|Q74DK8_GEOSL
tr|Q74EH9|Q74EH9_GEOSL
tr|Q747Z0|Q747Z0_GEOSL	K13979
tr|Q74AV1|Q74AV1_GEOSL
tr|Q74GN0|Q74GN0_GEOSL
tr|Q74CJ2|Q74CJ2_GEOSL
tr|Q74B35|Q74B35_GEOSL
tr|Q74BC9|Q74BC9_GEOSL
tr|Q74AW0|Q74AW0_GEOSL	K01784
tr|Q748L2|Q748L2_GEOSL	K04720
tr|Q749M2|Q749M2_GEOSL	K05588
tr|Q74A38|Q74A38_GEOSL
tr|Q74DA7|Q74DA7_GEOSL	K06933
tr|Q747B8|Q747B8_GEOSL	K07130
tr|Q74AD7|Q74AD7_GEOSL	K06218
tr|Q74GC0|Q74GC0_GEOSL	K02456
tr|Q74H18|Q74H18_GEOSL
tr|Q74FS6|Q74FS6_GEOSL
tr|Q748V9|Q748V9_GEOSL
tr|Q748H4|Q748H4_GEOSL	K02557
tr|Q748N8|Q748N8_GEOSL	K03813
tr|Q74GL2|Q74GL2_GEOSL	K21993
tr|Q74FH2|Q74FH2_GEOSL	K15460
tr|Q747Z9|Q747Z9_GEOSL	K00655
tr|Q747C4|Q747C4_GEOSL	K06415
tr|Q74AU4|Q74AU4_GEOSL	K02843
tr|Q74F99|Q74F99_GEOSL
tr|Q748Q6|Q748Q6_GEOSL	K23876
tr|Q74AT8|Q74AT8_GEOSL
tr|Q747E7|Q747E7_GEOSL	K02687
tr|Q747X3|Q747X3_GEOSL	K03856
tr|Q74AU3|Q74AU3_GEOSL	K09791
tr|Q749L7|Q749L7_GEOSL
tr|Q74C30|Q74C30_GEOSL
tr|Q74DH9|Q74DH9_GEOSL
tr|Q747M0|Q747M0_GEOSL	K02319
tr|Q74D77|Q74D77_GEOSL	K01673
tr|Q747K5|Q747K5_GEOSL
tr|Q74H77|Q74H77_GEOSL	K03771
tr|Q74G69|Q74G69_GEOSL	K00283
tr|Q748E2|Q748E2_GEOSL
tr|Q74GQ2|Q74GQ2_GEOSL
tr|Q747H9|Q747H9_GEOSL	K03424
tr|Q747G0|Q747G0_GEOSL
tr|Q74F12|Q74F12_GEOSL	K05595
tr|Q74FY3|Q74FY3_GEOSL
tr|Q74GF0|Q74GF0_GEOSL	K03407
tr|Q74DY9|Q74DY9_GEOSL	K00241
tr|Q749T1|Q749T1_GEOSL
tr|Q74CF1|Q74CF1_GEOSL
tr|Q74BN9|Q74BN9_GEOSL	K00384
tr|Q74AP7|Q74AP7_GEOSL	K03640
tr|Q74F63|Q74F63_GEOSL
tr|Q747V0|Q747V0_GEOSL	K11892
tr|Q74AK2|Q74AK2_GEOSL	K14393
tr|Q749L5|Q749L5_GEOSL
tr|Q74CJ4|Q74CJ4_GEOSL
tr|Q74DC9|Q74DC9_GEOSL	K19124
tr|Q746T0|Q746T0_GEOSL	K06193
tr|Q74BU3|Q74BU3_GEOSL
tr|Q74BK6|Q74BK6_GEOSL
tr|Q74H09|Q74H09_GEOSL
tr|Q74BX3|Q74BX3_GEOSL	K03704
tr|Q74B09|Q74B09_GEOSL
tr|Q747F8|Q747F8_GEOSL	K03924
tr|Q74BK5|Q74BK5_GEOSL
tr|Q74BN7|Q74BN7_GEOSL	K03182
tr|Q74B77|Q74B77_GEOSL
tr|Q74F19|Q74F19_GEOSL
tr|Q74DS9|Q74DS9_GEOSL
tr|Q74CX5|Q74CX5_GEOSL
tr|Q749H9|Q749H9_GEOSL
tr|Q74BN0|Q74BN0_GEOSL	K04487
tr|Q74GV8|Q74GV8_GEOSL	K15977
tr|Q74EI2|Q74EI2_GEOSL
tr|Q74BE6|Q74BE6_GEOSL
tr|Q74C67|Q74C67_GEOSL	K00796
tr|Q74AS4|Q74AS4_GEOSL
tr|Q749Z1|Q749Z1_GEOSL	K09667
tr|Q749S9|Q749S9_GEOSL
tr|Q74BU5|Q74BU5_GEOSL
tr|Q74A30|Q74A30_GEOSL
tr|Q74GT0|Q74GT0_GEOSL
tr|Q74FG9|Q74FG9_GEOSL
tr|Q74DA1|Q74DA1_GEOSL
tr|Q74FN7|Q74FN7_GEOSL
tr|Q74BR3|Q74BR3_GEOSL
tr|Q74A20|Q74A20_GEOSL	K13643
tr|Q74G14|Q74G14_GEOSL
tr|Q74CH7|Q74CH7_GEOSL	K03924
tr|Q74BW6|Q74BW6_GEOSL	K14742
tr|Q74DS6|Q74DS6_GEOSL
tr|Q74AI8|Q74AI8_GEOSL	K01710
tr|Q74A39|Q74A39_GEOSL
tr|Q74EV2|Q74EV2_GEOSL	K23541
tr|I7FK98|I7FK98_GEOSL
tr|Q74CQ2|Q74CQ2_GEOSL	K00782
tr|Q74F28|Q74F28_GEOSL	K03116
tr|Q74GM9|Q74GM9_GEOSL
tr|Q74ES6|Q74ES6_GEOSL	K16092
tr|Q74D27|Q74D27_GEOSL	K02669
tr|Q747W0|Q747W0_GEOSL	K15876
tr|Q74B17|Q74B17_GEOSL	K13587
tr|Q74G49|Q74G49_GEOSL	K03406
tr|Q74E84|Q74E84_GEOSL
tr|Q74A47|Q74A47_GEOSL	K06997
tr|Q747R5|Q747R5_GEOSL	K03410
tr|Q74AC5|Q74AC5_GEOSL	K06167
tr|Q74EW1|Q74EW1_GEOSL	K05337
tr|Q748K8|Q748K8_GEOSL	K02189
tr|Q74ET1|Q74ET1_GEOSL
tr|Q74CN6|Q74CN6_GEOSL	K00762
tr|Q74A69|Q74A69_GEOSL
tr|Q74EV1|Q74EV1_GEOSL	K03832
tr|Q74AJ4|Q74AJ4_GEOSL	K06044
tr|I7FIF5|I7FIF5_GEOSL
tr|Q74H80|Q74H80_GEOSL	K00231
tr|Q74AR2|Q74AR2_GEOSL	K08281
tr|Q74DM6|Q74DM6_GEOSL	K03407
tr|Q74FN3|Q74FN3_GEOSL	K13953
tr|Q74F58|Q74F58_GEOSL
tr|Q74C36|Q74C36_GEOSL	K01838
tr|Q74C17|Q74C17_GEOSL	K00177
tr|Q746V8|Q746V8_GEOSL
tr|Q74CB3|Q74CB3_GEOSL
tr|Q74C07|Q74C07_GEOSL
tr|Q74CY9|Q74CY9_GEOSL
tr|Q74A78|Q74A78_GEOSL
tr|Q74CD6|Q74CD6_GEOSL	K00180
tr|Q749H5|Q749H5_GEOSL
tr|Q74CH6|Q74CH6_GEOSL	K22452
tr|Q74F86|Q74F86_GEOSL
tr|Q749G5|Q749G5_GEOSL
tr|Q74G53|Q74G53_GEOSL
tr|Q747S0|Q747S0_GEOSL	K00575
tr|Q74AZ6|Q74AZ6_GEOSL
tr|Q74B36|Q74B36_GEOSL
tr|Q74ER0|Q74ER0_GEOSL
tr|Q747U6|Q747U6_GEOSL
tr|Q74B78|Q74B78_GEOSL
tr|Q74DS1|Q74DS1_GEOSL	K08316
tr|Q74GW9|Q74GW9_GEOSL
tr|Q74EL2|Q74EL2_GEOSL	K12340
tr|Q749T0|Q749T0_GEOSL
tr|Q74D09|Q74D09_GEOSL
tr|Q749N2|Q749N2_GEOSL
tr|Q74GI7|Q74GI7_GEOSL
tr|Q74H26|Q74H26_GEOSL	K01673
tr|Q74FT0|Q74FT0_GEOSL	K23518
tr|Q747M3|Q747M3_GEOSL
tr|Q74EE4|Q74EE4_GEOSL
tr|Q74DW5|Q74DW5_GEOSL	K02945
tr|Q74BR9|Q74BR9_GEOSL	K15899
tr|Q748P7|Q748P7_GEOSL	K03325
tr|Q746U3|Q746U3_GEOSL
tr|Q74FG5|Q74FG5_GEOSL	K06960
tr|Q747L4|Q747L4_GEOSL
tr|Q74D23|Q74D23_GEOSL	K02650
tr|Q74E57|Q74E57_GEOSL	K09141
tr|Q74AD9|Q74AD9_GEOSL
tr|Q74EB7|Q74EB7_GEOSL	K01163
tr|Q74EN3|Q74EN3_GEOSL
tr|Q747Y8|Q747Y8_GEOSL
tr|Q746R7|Q746R7_GEOSL	K06889
tr|Q74C31|Q74C31_GEOSL
tr|Q74H02|Q74H02_GEOSL	K03389
tr|Q748N4|Q748N4_GEOSL
tr|Q74FW3|Q74FW3_GEOSL	K07391
tr|Q74EK4|Q74EK4_GEOSL
tr|Q749Z5|Q749Z5_GEOSL
tr|Q74DA5|Q74DA5_GEOSL
tr|Q749F0|Q749F0_GEOSL
tr|Q74FK3|Q74FK3_GEOSL	K03147
tr|Q74GE5|Q74GE5_GEOSL
tr|Q74DZ1|Q74DZ1_GEOSL	K02499
